0,3,6,9,2,5,8,11,0,7,10,13,2,5,12>3,6,9,2,5,8,11,0,7,10,13,2,5,12,1
0,3,6,9,2,5,8,11,0,7,10,13,2,5,12>3,6,9,2,5,8,11,0,7,10,13,2,5,12,3
0,3,6,9,2,7,10,13,0,5,12,1,4,7,10>3,6,9,2,7,10,13,0,5,12,1,4,7,10,3
0,3,6,9,2,13,8,11,0,5,10,1,4,7,12>3,6,9,2,13,8,11,0,5,10,1,4,7,12,3
0,3,6,9,12,5,8,11,0,3,10,13,2,5,8>3,6,9,12,5,8,11,0,3,10,13,2,5,8,1
0,3,6,9,12,5,10,13,0,3,8,1,4,7,10>3,6,9,12,5,10,13,0,3,8,1,4,7,10,13
0,3,6,11,2,7,10,13,0,5,12,1,4,7,10>3,6,11,2,7,10,13,0,5,12,1,4,7,10,3
0,3,6,11,2,7,12,9,0,5,10,1,4,7,12>3,6,11,2,7,12,9,0,5,10,1,4,7,12,3
0,3,6,11,4,7,10,1,8,13,2,5,12,3,6>3,6,11,4,7,10,1,8,13,2,5,12,3,6,9
0,3,6,11,4,7,10,1,8,13,2,5,12,3,6>3,6,11,4,7,10,1,8,13,2,5,12,3,6,11
0,3,6,11,4,7,10,13,2,9,12,1,4,7,0>3,6,11,4,7,10,13,2,9,12,1,4,7,0,3
0,3,6,11,4,7,12,1,8,13,2,5,10,3,6>3,6,11,4,7,12,1,8,13,2,5,10,3,6,9
0,3,6,11,4,7,12,1,8,13,2,5,10,3,6>3,6,11,4,7,12,1,8,13,2,5,10,3,6,11
0,3,6,11,4,9,12,1,8,13,2,5,10,3,6>3,6,11,4,9,12,1,8,13,2,5,10,3,6,11
0,3,6,11,4,9,12,1,8,13,2,7,10,3,6>3,6,11,4,9,12,1,8,13,2,7,10,3,6,11
0,3,6,13,2,5,8,11,0,7,10,1,4,9,12>3,6,13,2,5,8,11,0,7,10,1,4,9,12,3
0,3,6,13,2,5,8,11,0,7,10,13,2,5,12>3,6,13,2,5,8,11,0,7,10,13,2,5,12,1
0,3,6,13,2,5,8,11,0,7,10,13,2,5,12>3,6,13,2,5,8,11,0,7,10,13,2,5,12,3
0,3,6,13,2,5,8,11,4,7,10,13,2,9,12>3,6,13,2,5,8,11,4,7,10,13,2,9,12,1
0,3,6,13,2,7,12,9,0,5,10,1,4,7,12>3,6,13,2,7,12,9,0,5,10,1,4,7,12,3
0,3,6,13,2,9,12,1,8,11,4,7,10,3,6>3,6,13,2,9,12,1,8,11,4,7,10,3,6,13
0,3,6,13,4,7,10,1,8,11,2,5,12,3,6>3,6,13,4,7,10,1,8,11,2,5,12,3,6,9
0,3,6,13,4,7,10,1,8,11,2,5,12,3,6>3,6,13,4,7,10,1,8,11,2,5,12,3,6,13
0,3,6,13,4,7,12,1,8,11,2,5,10,3,6>3,6,13,4,7,12,1,8,11,2,5,10,3,6,9
0,3,6,13,4,7,12,1,8,11,2,5,10,3,6>3,6,13,4,7,12,1,8,11,2,5,10,3,6,13
0,3,8,1,4,7,10,13,6,9,12,1,4,11,0>3,8,1,4,7,10,13,6,9,12,1,4,11,0,3
0,3,8,1,4,7,12,5,10,13,2,9,0,3,6>3,8,1,4,7,12,5,10,13,2,9,0,3,6,11
0,3,8,1,4,7,12,5,10,13,2,9,0,3,8>3,8,1,4,7,12,5,10,13,2,9,0,3,8,11
0,3,8,1,4,9,12,5,10,13,2,7,0,3,6>3,8,1,4,9,12,5,10,13,2,7,0,3,6,11
0,3,8,1,4,9,12,5,10,13,2,7,0,3,8>3,8,1,4,9,12,5,10,13,2,7,0,3,8,5
0,3,8,1,4,9,12,5,10,13,2,7,0,3,8>3,8,1,4,9,12,5,10,13,2,7,0,3,8,11
0,3,8,1,6,9,12,5,10,13,2,7,0,3,8>3,8,1,6,9,12,5,10,13,2,7,0,3,8,5
0,3,8,1,6,9,12,5,10,13,2,7,0,3,8>3,8,1,6,9,12,5,10,13,2,7,0,3,8,11
0,3,8,1,6,9,12,5,10,13,4,7,0,3,8>3,8,1,6,9,12,5,10,13,4,7,0,3,8,11
0,3,8,1,12,5,10,13,6,3,8,1,4,9,0>3,8,1,12,5,10,13,6,3,8,1,4,9,0,13
0,3,8,1,12,5,10,13,6,3,8,1,4,11,0>3,8,1,12,5,10,13,6,3,8,1,4,11,0,13
0,3,8,5,10,13,6,11,0,3,8,1,4,7,12>3,8,5,10,13,6,11,0,3,8,1,4,7,12,5
0,3,8,5,10,13,6,11,0,3,8,1,4,9,12>3,8,5,10,13,6,11,0,3,8,1,4,9,12,5
0,3,8,11,2,5,10,13,4,7,12,1,6,9,0>3,8,11,2,5,10,13,4,7,12,1,6,9,0,3
0,3,8,11,2,9,12,1,6,13,4,7,10,3,0>3,8,11,2,9,12,1,6,13,4,7,10,3,0,11
0,3,8,11,2,9,12,1,6,13,4,7,10,3,8>3,8,11,2,9,12,1,6,13,4,7,10,3,8,11
0,3,8,11,2,9,12,5,0,13,4,7,2,9,6>3,8,11,2,9,12,5,0,13,4,7,2,9,6,1
0,3,8,11,4,7,12,1,6,13,2,5,10,3,8>3,8,11,4,7,12,1,6,13,2,5,10,3,8,11
0,3,8,11,4,9,12,1,6,13,2,5,10,3,8>3,8,11,4,9,12,1,6,13,2,5,10,3,8,11
0,3,8,11,4,9,12,1,6,13,2,7,4,9,0>3,8,11,4,9,12,1,6,13,2,7,4,9,0,5
0,3,8,11,4,9,12,1,6,13,2,7,10,3,8>3,8,11,4,9,12,1,6,13,2,7,10,3,8,11
0,3,8,11,4,9,12,5,0,13,2,7,10,3,6>3,8,11,4,9,12,5,0,13,2,7,10,3,6,11
0,3,8,11,4,9,12,5,0,13,6,1,10,7,2>3,8,11,4,9,12,5,0,13,6,1,10,7,2,11
0,3,8,11,4,13,10,1,6,9,2,7,4,13,0>3,8,11,4,13,10,1,6,9,2,7,4,13,0,5
0,3,8,11,4,13,10,5,0,9,2,7,12,3,6>3,8,11,4,13,10,5,0,9,2,7,12,3,6,11
0,3,8,13,4,9,6,11,0,7,12,1,4,9,2>3,8,13,4,9,6,11,0,7,12,1,4,9,2,5
0,3,8,13,4,9,6,11,2,7,12,1,4,9,0>3,8,13,4,9,6,11,2,7,12,1,4,9,0,5
0,3,8,13,4,9,12,1,6,11,2,7,4,9,0>3,8,13,4,9,12,1,6,11,2,7,4,9,0,5
0,3,8,13,4,9,12,5,0,11,6,1,10,7,2>3,8,13,4,9,12,5,0,11,6,1,10,7,2,13
0,3,8,13,4,9,12,5,2,11,6,1,10,7,0>3,8,13,4,9,12,5,2,11,6,1,10,7,0,3
0,3,8,13,4,11,6,1,10,7,2,9,12,5,0>3,8,13,4,11,6,1,10,7,2,9,12,5,0,13
0,3,10,1,4,7,12,5,8,11,2,9,0,3,6>3,10,1,4,7,12,5,8,11,2,9,0,3,6,13
0,3,10,1,4,7,12,5,8,13,2,9,0,3,6>3,10,1,4,7,12,5,8,13,2,9,0,3,6,11
0,3,10,1,4,9,12,5,8,13,2,7,0,3,6>3,10,1,4,9,12,5,8,13,2,7,0,3,6,11
0,3,10,5,2,9,6,13,0,11,4,1,8,3,6>3,10,5,2,9,6,13,0,11,4,1,8,3,6,13
0,3,10,5,2,9,12,7,0,13,6,1,4,11,8>3,10,5,2,9,12,7,0,13,6,1,4,11,8,3
0,3,10,5,2,11,6,13,0,9,4,1,8,3,6>3,10,5,2,11,6,13,0,9,4,1,8,3,6,13
0,3,10,7,2,9,6,13,0,11,4,1,8,3,6>3,10,7,2,9,6,13,0,11,4,1,8,3,6,13
0,3,10,7,2,9,12,5,0,11,4,7,2,9,6>3,10,7,2,9,12,5,0,11,4,7,2,9,6,13
0,3,10,7,2,9,12,5,0,13,4,7,2,9,6>3,10,7,2,9,12,5,0,13,4,7,2,9,6,1
0,3,10,7,2,9,12,5,0,13,4,7,2,11,8>3,10,7,2,9,12,5,0,13,4,7,2,11,8,1
0,3,10,7,2,11,6,1,12,5,8,13,4,9,0>3,10,7,2,11,6,1,12,5,8,13,4,9,0,3
0,3,10,7,2,11,6,13,0,9,4,1,8,3,6>3,10,7,2,11,6,13,0,9,4,1,8,3,6,13
0,3,10,7,2,11,8,5,0,9,4,13,2,11,6>3,10,7,2,11,8,5,0,9,4,13,2,11,6,1
0,3,10,7,4,11,8,5,2,13,6,1,12,9,0>3,10,7,4,11,8,5,2,13,6,1,12,9,0,3
0,3,10,7,4,13,6,1,12,9,2,11,8,3,0>3,10,7,4,13,6,1,12,9,2,11,8,3,0,7
0,3,10,7,4,13,6,1,12,9,2,11,8,5,0>3,10,7,4,13,6,1,12,9,2,11,8,5,0,7
0,3,10,7,4,13,8,5,2,11,6,1,12,9,0>3,10,7,4,13,8,5,2,11,6,1,12,9,0,3
0,3,10,13,2,5,8,1,4,7,10,13,6,9,12>3,10,13,2,5,8,1,4,7,10,13,6,9,12,1
0,3,10,13,2,9,12,5,0,11,4,7,2,9,6>3,10,13,2,9,12,5,0,11,4,7,2,9,6,13
0,3,10,13,2,9,12,5,8,11,4,7,0,3,6>3,10,13,2,9,12,5,8,11,4,7,0,3,6,13
0,3,10,13,4,7,12,5,8,11,2,9,0,3,6>3,10,13,4,7,12,5,8,11,2,9,0,3,6,13
0,3,10,13,6,9,12,5,8,1,4,7,0,3,10>3,10,13,6,9,12,5,8,1,4,7,0,3,10,13
0,3,12,5,2,11,6,9,0,13,8,1,4,11,6>3,12,5,2,11,6,9,0,13,8,1,4,11,6,3
0,3,12,5,2,13,6,9,0,11,8,1,4,13,6>3,12,5,2,13,6,9,0,11,8,1,4,13,6,3
0,3,12,5,2,13,10,7,0,11,6,1,4,13,8>3,12,5,2,13,10,7,0,11,6,1,4,13,8,3
0,3,12,5,2,13,10,7,0,11,8,5,2,9,6>3,12,5,2,13,10,7,0,11,8,5,2,9,6,3
0,3,12,5,2,13,10,7,0,11,8,5,2,13,6>3,12,5,2,13,10,7,0,11,8,5,2,13,6,3
0,3,12,7,2,11,8,5,0,9,4,13,2,11,6>3,12,7,2,11,8,5,0,9,4,13,2,11,6,1
0,3,12,7,2,13,8,5,0,11,6,1,10,13,8>3,12,7,2,13,8,5,0,11,6,1,10,13,8,3
0,3,12,7,2,13,10,5,0,9,4,7,2,11,6>3,12,7,2,13,10,5,0,9,4,7,2,11,6,1
0,3,12,7,2,13,10,5,0,9,4,7,2,13,6>3,12,7,2,13,10,5,0,9,4,7,2,13,6,1
0,3,12,7,4,11,6,9,0,13,8,1,4,11,2>3,12,7,4,11,6,9,0,13,8,1,4,11,2,5
0,3,12,7,4,11,6,9,0,13,8,1,4,11,6>3,12,7,4,11,6,9,0,13,8,1,4,11,6,3
0,3,12,7,4,11,8,5,2,9,6,1,10,13,0>3,12,7,4,11,8,5,2,9,6,1,10,13,0,3
0,3,12,9,4,7,10,5,0,11,2,13,8,3,6>3,12,9,4,7,10,5,0,11,2,13,8,3,6,9
0,3,12,9,4,11,8,5,0,7,2,13,10,3,12>3,12,9,4,11,8,5,0,7,2,13,10,3,12,9
0,5,2,7,10,3,8,11,0,5,12,1,4,9,2>5,2,7,10,3,8,11,0,5,12,1,4,9,2,7
0,5,2,7,10,3,8,11,0,5,12,1,6,9,2>5,2,7,10,3,8,11,0,5,12,1,6,9,2,7
0,5,2,7,10,3,8,11,0,5,12,1,6,13,2>5,2,7,10,3,8,11,0,5,12,1,6,13,2,7
0,5,2,7,12,3,8,11,0,5,10,1,6,3,8>5,2,7,12,3,8,11,0,5,10,1,6,3,8,13
0,5,2,7,12,3,8,11,0,5,10,1,6,13,2>5,2,7,12,3,8,11,0,5,10,1,6,13,2,7
0,5,2,11,6,3,12,7,0,13,8,1,4,9,2>5,2,11,6,3,12,7,0,13,8,1,4,9,2,5
0,5,2,11,6,3,12,7,0,13,8,1,10,5,2>5,2,11,6,3,12,7,0,13,8,1,10,5,2,11
0,5,2,11,6,3,12,7,0,13,10,1,4,9,2>5,2,11,6,3,12,7,0,13,10,1,4,9,2,5
0,5,2,13,8,3,12,9,6,1,10,7,0,3,12>5,2,13,8,3,12,9,6,1,10,7,0,3,12,5
0,5,8,1,4,9,12,3,10,13,2,7,0,5,8>5,8,1,4,9,12,3,10,13,2,7,0,5,8,11
0,5,8,1,6,9,12,3,10,13,2,7,0,5,8>5,8,1,6,9,12,3,10,13,2,7,0,5,8,11
0,5,8,1,6,9,12,3,10,13,4,7,0,5,8>5,8,1,6,9,12,3,10,13,4,7,0,5,8,11
0,5,8,1,12,7,2,11,6,3,10,13,4,9,0>5,8,1,12,7,2,11,6,3,10,13,4,9,0,5
0,5,8,11,2,7,10,1,4,9,12,3,6,13,0>5,8,11,2,7,10,1,4,9,12,3,6,13,0,5
0,5,8,11,2,7,10,3,0,5,12,1,6,13,10>5,8,11,2,7,10,3,0,5,12,1,6,13,10,3
0,5,8,11,2,7,12,1,4,13,10,3,6,9,0>5,8,11,2,7,12,1,4,13,10,3,6,9,0,5
0,5,8,11,2,7,12,3,0,5,10,1,6,9,12>5,8,11,2,7,12,3,0,5,10,1,6,9,12,3
0,5,8,11,2,9,12,1,6,13,4,7,10,3,0>5,8,11,2,9,12,1,6,13,4,7,10,3,0,11
0,5,8,11,2,9,12,1,6,13,4,7,10,3,8>5,8,11,2,9,12,1,6,13,4,7,10,3,8,11
0,5,8,11,2,9,12,3,6,13,4,7,10,1,8>5,8,11,2,9,12,3,6,13,4,7,10,1,8,11
0,5,8,11,4,9,12,1,6,13,2,7,4,9,0>5,8,11,4,9,12,1,6,13,2,7,4,9,0,5
0,5,8,11,4,9,12,1,6,13,2,7,10,3,8>5,8,11,4,9,12,1,6,13,2,7,10,3,8,11
0,5,8,11,4,9,12,3,0,13,6,1,10,7,2>5,8,11,4,9,12,3,0,13,6,1,10,7,2,11
0,5,8,11,4,9,12,3,6,13,2,7,10,1,8>5,8,11,4,9,12,3,6,13,2,7,10,1,8,11
0,5,8,13,2,7,10,1,4,9,12,3,6,11,0>5,8,13,2,7,10,1,4,9,12,3,6,11,0,5
