state,rank,phase,component_size,component_period
"0,3,12,7,2,13,10,5,0,9,4,7,2,11,6",92898,1,4848,2
"0,3,12,7,2,13,10,5,0,9,4,7,2,13,6",92898,1,4848,2
"0,3,12,7,4,11,6,9,0,13,8,1,4,11,2",92898,1,4848,2
"0,3,12,7,4,11,6,9,0,13,8,1,4,11,6",92898,1,4848,2
"0,3,12,7,4,11,8,5,2,9,6,1,10,13,0",87834,0,14,14
"0,3,12,9,4,7,10,5,0,11,2,13,8,3,6",92898,1,4848,2
"0,3,12,9,4,11,8,5,0,7,2,13,10,3,12",92898,1,4848,2
"0,5,2,7,10,3,8,11,0,5,12,1,4,9,2",92898,1,4848,2
"0,5,2,7,10,3,8,11,0,5,12,1,6,9,2",92898,1,4848,2
"0,5,2,7,10,3,8,11,0,5,12,1,6,13,2",92898,1,4848,2
"0,5,2,7,12,3,8,11,0,5,10,1,6,3,8",92898,1,4848,2
"0,5,2,7,12,3,8,11,0,5,10,1,6,13,2",92898,1,4848,2
"0,5,2,11,6,3,12,7,0,13,8,1,4,9,2",92898,1,4848,2
"0,5,2,11,6,3,12,7,0,13,8,1,10,5,2",92898,1,4848,2
"0,5,2,11,6,3,12,7,0,13,10,1,4,9,2",92898,1,4848,2
"0,5,2,13,8,3,12,9,6,1,10,7,0,3,12",92898,1,4848,2
"0,5,8,1,4,9,12,3,10,13,2,7,0,5,8",92898,1,4848,2
"0,5,8,1,6,9,12,3,10,13,2,7,0,5,8",92898,1,4848,2
"0,5,8,1,6,9,12,3,10,13,4,7,0,5,8",92898,1,4848,2
"0,5,8,1,12,7,2,11,6,3,10,13,4,9,0",83352,0,14,14
"0,5,8,11,2,7,10,1,4,9,12,3,6,13,0",82832,0,14,14
"0,5,8,11,2,7,10,3,0,5,12,1,6,13,10",92898,1,4848,2
"0,5,8,11,2,7,12,1,4,13,10,3,6,9,0",82816,0,14,14
"0,5,8,11,2,7,12,3,0,5,10,1,6,9,12",92898,1,4848,2
"0,5,8,11,2,9,12,1,6,13,4,7,10,3,0",92898,1,4848,2
"0,5,8,11,2,9,12,1,6,13,4,7,10,3,8",92898,1,4848,2
"0,5,8,11,2,9,12,3,6,13,4,7,10,1,8",92898,1,4848,2
"0,5,8,11,4,9,12,1,6,13,2,7,4,9,0",92898,1,4848,2
"0,5,8,11,4,9,12,1,6,13,2,7,10,3,8",92898,1,4848,2
"0,5,8,11,4,9,12,3,0,13,6,1,10,7,2",92898,1,4848,2
"0,5,8,11,4,9,12,3,6,13,2,7,10,1,8",92898,1,4848,2
"0,5,8,13,2,7,10,1,4,9,12,3,6,11,0",82354,0,14,14
"0,5,8,13,2,7,12,3,0,5,10,1,6,9,12",92898,1,4848,2
"0,5,8,13,2,9,12,3,6,11,4,7,10,1,8",92898,1,4848,2
"0,5,8,13,6,9,12,3,10,1,4,7,0,5,8",92898,1,4848,2
"0,5,10,1,4,7,12,3,6,13,10,1,8,11,0",92898,1,4848,2
"0,5,10,1,4,7,12,3,8,13,10,1,6,11,0",92898,1,4848,2
"0,5,10,1,4,7,12,3,8,13,10,1,6,11,2",92898,1,4848,2
"0,5,10,1,4,11,8,3,12,7,2,13,6,9,0",87938,1,14,14
"0,5,10,1,6,3,8,13,4,9,12,1,6,11,0",92898,1,4848,2
"0,5,10,1,6,3,8,13,4,9,12,1,6,11,2",92898,1,4848,2
"0,5,10,1,6,9,2,13,8,3,12,7,4,11,0",81900,0,14,14
"0,5,10,1,6,9,12,3,8,13,4,1,6,11,0",92898,1,4848,2
"0,5,10,1,6,9,12,3,8,13,4,1,6,11,2",92898,1,4848,2
"0,5,10,1,6,11,2,7,12,3,8,13,0,5,10",92898,1,4848,2
"0,5,10,1,6,11,2,7,12,3,8,13,4,9,0",92898,1,4848,2
"0,5,10,1,6,11,2,7,12,9,4,13,0,5,2",92898,1,4848,2
"0,5,10,1,6,13,2,7,12,3,8,11,0,5,10",92898,1,4848,2
"0,5,10,1,8,11,2,7,12,3,6,13,0,5,10",81839,0,12,12
"0,5,10,1,8,13,2,7,12,3,6,9,0,5,10",92898,1,4848,2
"0,5,10,1,8,13,2,7,12,3,6,11,0,5,10",92898,1,4848,2
"0,5,10,1,12,3,8,13,4,7,10,1,6,11,0",92898,1,4848,2
"0,5,10,1,12,3,8,13,4,7,10,1,6,11,2",92898,1,4848,2
"0,5,10,3,6,11,2,7,12,1,8,13,0,5,10",81498,0,12,12
"0,5,10,3,6,13,2,7,12,1,8,11,0,5,10",81381,0,12,12
"0,5,10,3,8,11,2,7,12,1,6,13,0,5,10",81309,0,12,12
"0,5,10,3,8,13,2,7,12,1,4,9,0,5,10",92898,1,4848,2
"0,5,10,3,8,13,2,7,12,1,6,11,0,5,10",92898,1,4848,2
"0,5,10,7,4,9,12,3,0,13,6,1,8,5,2",92898,1,4848,2
"0,5,10,7,12,3,8,13,0,5,10,1,6,3,8",92898,1,4848,2
"0,5,10,7,12,3,8,13,0,5,10,1,6,11,2",92898,1,4848,2
"0,5,10,7,12,3,8,13,2,5,10,1,6,11,0",92898,1,4848,2
"0,5,10,7,12,3,8,13,2,5,10,1,6,11,8",92898,1,4848,2
"0,5,10,13,2,7,12,3,0,5,10,1,6,9,12",92898,1,4848,2
"0,5,10,13,2,7,12,3,8,5,10,1,6,11,0",92898,1,4848,2
"0,5,10,13,4,11,8,3,0,7,2,13,6,9,12",92898,1,4848,2
"0,5,10,13,6,3,12,7,2,11,8,1,4,9,0",97942,1,14,14
"0,5,10,13,6,11,2,7,0,3,8,13,4,9,12",92898,1,4848,2
"0,5,12,1,4,7,10,3,6,9,12,1,8,11,0",92898,1,4848,2
"0,5,12,1,4,7,10,3,6,9,12,1,8,13,0",92898,1,4848,2
"0,5,12,1,4,9,2,7,10,13,6,11,0,3,8",92898,1,4848,2
"0,5,12,1,4,9,2,7,10,13,6,11,0,5,8",92898,1,4848,2
"0,5,12,1,6,9,2,7,10,13,4,11,0,3,8",92898,1,4848,2
"0,5,12,1,6,9,2,7,10,13,4,11,0,5,8",92898,1,4848,2
"0,5,12,1,6,11,2,7,10,3,8,13,0,5,12",104470,1,12,12
"0,5,12,1,6,13,2,7,10,3,8,11,0,5,12",92898,1,4848,2
"0,5,12,1,6,13,10,3,8,11,2,7,0,13,4",92898,1,4848,2
"0,5,12,1,6,13,10,3,8,11,4,1,6,13,0",92898,1,4848,2
"0,5,12,1,6,13,10,3,8,11,4,7,0,13,2",92898,1,4848,2
"0,5,12,1,8,11,2,7,10,3,6,13,0,5,12",102268,1,12,12
"0,5,12,1,8,13,2,7,10,3,6,11,0,5,12",92898,1,4848,2
